Country,Code,Year,"School life expectancy, primary to tertiary, both sexes (years)"
Barbados,BRB,1972,10.98752022
Barbados,BRB,1973,11.11038971
Barbados,BRB,1974,10.76587963
Barbados,BRB,1981,11.91032982
Barbados,BRB,1982,11.95347023
Barbados,BRB,1984,12.57837963
Barbados,BRB,1985,12.97824955
Barbados,BRB,1989,13.20557976
Barbados,BRB,1990,12.80688953
Barbados,BRB,1999,14.00045013
Barbados,BRB,2000,14.03824043
Barbados,BRB,2001,13.98361969
Barbados,BRB,2007,15.25020027
Barbados,BRB,2009,15.83882046
Barbados,BRB,2010,15.47931004
Barbados,BRB,2011,15.29255962
Belarus,BLR,1971,11.47474003
Belarus,BLR,1976,11.34210014
Belarus,BLR,1980,11.81840038
Belarus,BLR,1981,12.01175022
Belarus,BLR,1982,12.1097002
Belarus,BLR,1983,12.23421001
Belarus,BLR,1984,12.36345005
Belarus,BLR,1985,12.50244045
Belarus,BLR,1986,12.6065197
Belarus,BLR,1987,12.91292953
Belarus,BLR,1988,12.93344975
Belarus,BLR,1989,12.88370991
Belarus,BLR,1990,12.87812996
Belarus,BLR,1991,12.72191048
Belarus,BLR,1992,12.46065998
Belarus,BLR,1993,12.43336964
Belarus,BLR,1994,12.39529991
Belarus,BLR,1995,12.43824005
Belarus,BLR,1996,12.82495022
Belarus,BLR,1997,12.89288998
Belarus,BLR,1998,12.83773041
Belarus,BLR,2008,15.37257004
Belarus,BLR,2009,15.45506954
Belarus,BLR,2010,15.46578979
Belarus,BLR,2011,15.59469032
Belarus,BLR,2012,15.72469997
Belarus,BLR,2013,15.65275002
Belarus,BLR,2014,15.60171032
Belgium,BEL,1971,12.15114021
Belgium,BEL,1972,12.21924019
Belgium,BEL,1973,12.01051998
Belgium,BEL,1974,12.24662018
Belgium,BEL,1975,12.26408958
Belgium,BEL,1978,12.79726982
Belgium,BEL,1979,12.89498997
Belgium,BEL,1980,12.94283009
Belgium,BEL,1981,12.96339035
Belgium,BEL,1982,13.13619041
Belgium,BEL,1983,12.99645996
Belgium,BEL,1984,13.16518021
Belgium,BEL,1985,13.40130997
Belgium,BEL,1986,13.5625
Belgium,BEL,1987,13.71996975
Belgium,BEL,1988,13.89941978
Belgium,BEL,1989,14.0298996
Belgium,BEL,1990,14.12067986
Belgium,BEL,1991,14.15159988
Belgium,BEL,1993,16.61861992
Belgium,BEL,1994,16.90428925
Belgium,BEL,1995,17.29685974
Belgium,BEL,1996,17.56936073
Belgium,BEL,1999,18.02084923
Belgium,BEL,2000,18.2428093
Belgium,BEL,2001,18.78162003
Belgium,BEL,2002,18.59217072
Belgium,BEL,2003,18.81023026
Belgium,BEL,2004,15.70361996
Belgium,BEL,2005,15.74409008
Belgium,BEL,2006,15.8409996
Belgium,BEL,2007,15.8372097
Belgium,BEL,2008,15.82503986
Belgium,BEL,2009,15.94717979
Belgium,BEL,2010,16.05027008
Belgium,BEL,2011,16.21870995
Belgium,BEL,2012,16.29829025
Belgium,BEL,2013,19.60357094
Belgium,BEL,2014,19.90726089
Belize,BLZ,2001,11.86448956
Belize,BLZ,2003,12.54551029
Belize,BLZ,2004,12.85021973
Belize,BLZ,2005,12.31035995
Belize,BLZ,2006,12.82470989
Belize,BLZ,2007,12.77381992
Belize,BLZ,2008,12.71158028
Belize,BLZ,2009,12.44256973
Belize,BLZ,2010,12.43340015
Belize,BLZ,2011,12.51189041
Belize,BLZ,2012,12.9095602
Belize,BLZ,2013,12.76906967
Benin,BEN,1971,2.377239943
Benin,BEN,1972,2.618030071
Benin,BEN,1973,2.935460091
Benin,BEN,1974,2.895279884
Benin,BEN,1975,3.360460043
Benin,BEN,1976,3.492429972
Benin,BEN,1977,3.663729906
Benin,BEN,1978,3.778219938
Benin,BEN,1979,4.18407011
Benin,BEN,1980,4.374609947
Benin,BEN,1981,4.727149963
Benin,BEN,1982,5.202469826
Benin,BEN,1983,5.492889881
Benin,BEN,1984,5.500060081
Benin,BEN,1985,5.407460213
Benin,BEN,1986,5.11386013
Benin,BEN,1987,4.932670116
Benin,BEN,1999,6.372710228
Benin,BEN,2000,6.633329868
Benin,BEN,2001,7.277080059
Benin,BEN,2002,7.745900154
Benin,BEN,2003,8.133210182
Benin,BEN,2004,8.501379967
Benin,BEN,2005,8.726849556
Benin,BEN,2011,11.07003021
Benin,BEN,2013,12.13588047
Bermuda,BMU,1979,11.93918991
Bermuda,BMU,1980,12.40388966
Bermuda,BMU,2006,12.76280975
Bermuda,BMU,2010,12.54796982
Bermuda,BMU,2011,12.36913013
Bermuda,BMU,2012,12.08580971
Bermuda,BMU,2013,11.86256027
Bermuda,BMU,2014,11.67033958
Bhutan,BTN,1983,4.044020176
Bhutan,BTN,1999,7.251349926
Bhutan,BTN,2005,9.623789787
Bhutan,BTN,2006,10.07246971
Bhutan,BTN,2007,10.4782896
Bhutan,BTN,2008,10.85962009
Bhutan,BTN,2009,11.42961025
Bhutan,BTN,2010,11.90624046
Bhutan,BTN,2011,12.30757046
Bhutan,BTN,2012,12.63358021
Bhutan,BTN,2013,12.51543999
Bolivia,BOL,1970,7.047770023
Bolivia,BOL,1971,7.113399982
Bolivia,BOL,1972,7.360429764
Bolivia,BOL,1973,7.589620113
Bolivia,BOL,1998,12.62446022
Bolivia,BOL,1999,13.32221985
Bolivia,BOL,2000,13.73445034
Bolivia,BOL,2001,13.97836018
Bolivia,BOL,2002,14.43418026
Bolivia,BOL,2003,14.61079979
Bolivia,BOL,2007,13.95578003
Bosnia and Herzegovina,BIH,2011,13.8698597
Bosnia and Herzegovina,BIH,2012,14.2126503
Bosnia and Herzegovina,BIH,2013,14.41582012
Bosnia and Herzegovina,BIH,2014,14.38652992
Botswana,BWA,1970,4.646609783
Botswana,BWA,1971,4.346380234
Botswana,BWA,1972,4.431980133
Botswana,BWA,1973,5.118639946
Botswana,BWA,1974,5.39605999
Botswana,BWA,1975,5.865089893
Botswana,BWA,1976,6.162479877
Botswana,BWA,1977,6.532939911
Botswana,BWA,1978,6.732590199
Botswana,BWA,1979,6.992040157
Botswana,BWA,1980,7.397500038
Botswana,BWA,1981,7.476299763
Botswana,BWA,1983,7.793449879
Botswana,BWA,1984,8.175250053
Botswana,BWA,1985,8.557889938
Botswana,BWA,1986,8.799200058
Botswana,BWA,1987,8.987830162
Botswana,BWA,1991,10.2976799
Botswana,BWA,1993,10.28279018
Botswana,BWA,1994,10.20917988
Botswana,BWA,1995,10.62514973
Botswana,BWA,1998,11.25533009
Botswana,BWA,1999,11.67105007
Botswana,BWA,2000,11.8473196
Botswana,BWA,2001,11.93192005
Botswana,BWA,2002,11.76994038
Botswana,BWA,2003,11.84269047
Botswana,BWA,2004,11.8622303
Botswana,BWA,2005,11.88868999
Botswana,BWA,2006,12.06779957
Botswana,BWA,2007,12.05416012
Botswana,BWA,2012,12.61730957
Botswana,BWA,2013,13.07219982
Brazil,BRA,2002,14.77079964
Brazil,BRA,2003,14.01426983
Brazil,BRA,2004,13.85000992
Brazil,BRA,2005,13.77737045
Brazil,BRA,2007,13.32022953
Brazil,BRA,2008,13.80420971
Brazil,BRA,2009,13.78225994
Brazil,BRA,2011,14.15347004
Brazil,BRA,2012,14.15777016
Brazil,BRA,2013,15.19532013
Brunei,BRN,1977,11.85589027
Brunei,BRN,1979,11.05657959
Brunei,BRN,1983,11.41386986
Brunei,BRN,1984,11.56704998
Brunei,BRN,1986,11.52036953
Brunei,BRN,1992,12.45886993
Brunei,BRN,1993,12.67733955
Brunei,BRN,1994,12.78619003
Brunei,BRN,1998,13.07009983
Brunei,BRN,1999,13.38632965
Brunei,BRN,2000,13.36073971
Brunei,BRN,2001,13.29329014
Brunei,BRN,2002,13.40627003
Brunei,BRN,2003,13.71732998
Brunei,BRN,2004,14.08740997
Brunei,BRN,2005,14.27492046
Brunei,BRN,2006,14.32411957
Brunei,BRN,2007,14.17850018
Brunei,BRN,2008,14.06931019
Brunei,BRN,2009,14.1895504
Brunei,BRN,2010,14.1281004
Brunei,BRN,2011,14.37032986
Brunei,BRN,2012,14.93305969
Brunei,BRN,2013,14.97243977
Brunei,BRN,2014,14.94486046
Bulgaria,BGR,1971,11.27931023
Bulgaria,BGR,1972,11.30552959
Bulgaria,BGR,1973,11.38311958
Bulgaria,BGR,1974,11.44332027
Bulgaria,BGR,1975,11.4881897
Bulgaria,BGR,1976,11.25140953
Bulgaria,BGR,1977,11.55196953
Bulgaria,BGR,1978,11.67380047
Bulgaria,BGR,1979,11.32901001
Bulgaria,BGR,1980,11.20193958
Bulgaria,BGR,1981,11.1655798
Bulgaria,BGR,1982,11.31735039
Bulgaria,BGR,1983,11.42138958
Bulgaria,BGR,1984,11.55091953
Bulgaria,BGR,1985,11.73250961
Bulgaria,BGR,1986,12.07621956
Bulgaria,BGR,1987,12.2980299
Bulgaria,BGR,1988,12.42057991
Bulgaria,BGR,1989,12.56383991
Bulgaria,BGR,1990,12.1090498
Bulgaria,BGR,1991,12.20298958
Bulgaria,BGR,1992,12.01638985
Bulgaria,BGR,1993,11.89544964
Bulgaria,BGR,1994,11.80914974
Bulgaria,BGR,1995,12.12940979
Bulgaria,BGR,1996,12.63992023
Bulgaria,BGR,1997,12.74096966
Bulgaria,BGR,1998,12.82028961
Bulgaria,BGR,1999,12.9375
Bulgaria,BGR,2000,12.92714024
Bulgaria,BGR,2001,12.93881035
Bulgaria,BGR,2002,12.89274979
Bulgaria,BGR,2003,13.2859602
Bulgaria,BGR,2004,13.45341015
Bulgaria,BGR,2005,13.49454021
Bulgaria,BGR,2006,13.52497959
Bulgaria,BGR,2007,13.80381012
Bulgaria,BGR,2008,13.84348011
Bulgaria,BGR,2009,13.93624973
Bulgaria,BGR,2010,14.21372032
Bulgaria,BGR,2011,14.32402992
Bulgaria,BGR,2012,14.39297962
Bulgaria,BGR,2013,14.8221302
Bulgaria,BGR,2014,15.04036999
Burkina Faso,BFA,1971,0.826120019
Burkina Faso,BFA,1972,0.859539986
Burkina Faso,BFA,1973,0.88391
