,Happiness Score,Household Size,Income Per Capita,Percent Urban,Births Per 1000,Deaths Per 1000,Life Expectancy at Birth,Percent Young (<15),Percent Old (>65),Infant Mortality Rate,Fertility Rate,Target Class,"Gross enrolment ratio, tertiary",Literacy Rate,"School life expectancy, primary to tertiary, both sexes (years)",Human Freedom Score,Economic Freedom Summary Index,Press Freedom Index
Senegal,3.904,8.7,3330.0,0.47,34.0,6.0,68.0,0.43,0.03,42.0,4.6,2.0,7.765470027999999,49.7,7.8832797999999995,6.57,6.27,23.99
Serbia,5.122999999999999,2.9,16710.0,0.6,9.0,15.0,76.0,0.14,0.2,4.9,1.5,1.0,58.05496979,98.0,14.36067963,7.37,7.05,31.62
Sierra Leone,4.507,5.9,1580.0,0.42,33.0,12.0,55.0,0.41,0.03,75.0,4.2,2.0,2.236269951,43.3,7.209400177000001,6.33,5.87,30.28
Slovakia,5.995,2.7,31960.0,0.54,10.0,10.0,77.0,0.16,0.17,5.1,1.5,1.0,56.85327148,99.6,15.06081009,8.29,7.63,22.67
Slovenia,5.848,2.3,38140.0,0.55,10.0,10.0,81.0,0.15,0.19,1.9,1.6,1.0,88.2660675,99.7,17.63541985,8.06,7.33,22.64
South Africa,4.6419999999999995,3.2,12530.0,0.67,20.0,9.0,65.0,0.29,0.06,22.0,2.3,2.0,19.66282082,93.0,13.05284977,7.24,6.73,22.41
South Korea,5.984,2.5,39630.0,0.81,6.0,6.0,83.0,0.12,0.16,2.8,0.9,1.0,99.66033936,97.9,16.80322075,8.26,7.69,23.7
Spain,6.329,2.5,40570.0,0.81,8.0,9.0,83.0,0.15,0.19,2.6,1.3,1.0,89.07212067,97.7,17.70031929,8.23,7.73,22.16
Sri Lanka,4.271,3.9,12900.0,0.19,15.0,6.0,77.0,0.25,0.08,9.0,2.1,2.0,20.70601082,91.2,13.96716022,6.45,6.88,41.94
Sudan,4.55,5.9,4430.0,0.36,32.0,7.0,65.0,0.41,0.04,42.0,4.4,2.0,16.92466927,71.9,7.205259799999999,4.44,4.21,55.33
Suriname,6.269,3.8,14390.0,0.66,17.0,6.0,72.0,0.27,0.07,17.0,2.8,1.0,12.65155983,94.7,13.34280968,7.48,6.37,17.5
Sweden,7.364,1.9,54640.0,0.88,11.0,9.0,83.0,0.18,0.2,1.8,1.8,0.0,83.78032684,99.0,18.85358047,8.6,7.58,9.25
Switzerland,7.587000000000001,2.3,70140.0,0.85,10.0,8.0,84.0,0.15,0.18,3.3,1.4,0.0,57.22953033,99.0,16.04040909,8.86,8.43,10.62
Tajikistan,4.7860000000000005,6.0,3890.0,0.26,25.0,4.0,75.0,0.34,0.03,27.0,3.5,2.0,26.37450027,99.7,11.97054005,6.66,6.05,55.34
Tanzania,3.781,4.7,3140.0,0.35,37.0,6.0,65.0,0.44,0.03,40.0,4.9,2.0,3.9334700110000003,67.8,8.989740372,6.7,6.73,40.25
Togo,2.839,4.4,1600.0,0.42,35.0,8.0,61.0,0.41,0.03,42.0,4.6,2.0,10.32145977,60.4,11.96578026,6.4,6.25,29.33
Trinidad and Tobago,6.167999999999999,3.3,26050.0,0.53,13.0,9.0,74.0,0.21,0.09,17.0,1.5,1.0,11.95116997,98.8,12.26607037,6.81,7.26,23.22
Tunisia,4.739,3.9,10630.0,0.69,17.0,6.0,76.0,0.25,0.08,14.0,2.1,2.0,35.17699814,79.1,14.68558025,6.43,6.07,29.45
Turkey,5.332000000000001,3.4,27710.0,0.76,18.0,5.0,78.0,0.23,0.09,9.0,2.3,1.0,78.98194885,94.1,16.38624954,7.23,6.62,50.02
Uganda,3.931,4.5,1780.0,0.24,39.0,6.0,63.0,0.47,0.02,45.0,5.0,2.0,4.4833898539999995,73.2,11.55996037,6.71,7.55,40.95
Ukraine,4.681,2.5,9030.0,0.69,8.0,14.0,72.0,0.15,0.17,7.1,1.3,2.0,84.19750214,99.7,15.30671978,6.95,6.06,32.52
United Kingdom,6.867000000000001,2.3,46240.0,0.84,11.0,9.0,81.0,0.18,0.19,3.7,1.6,1.0,62.60157013,99.0,17.93684959,8.56,8.08,22.93
United States,7.119,2.6,63780.0,0.82,12.0,9.0,79.0,0.18,0.16,5.7,1.7,0.0,96.32240295,99.0,16.68605995,8.46,8.22,23.85
Uruguay,6.485,2.8,20590.0,0.95,13.0,9.0,78.0,0.2,0.14,6.5,1.8,1.0,64.60523987,98.1,15.68605995,8.05,7.25,15.79
Vietnam,5.36,3.9,7230.0,0.34,16.0,6.0,74.0,0.23,0.08,14.0,2.1,1.0,30.47773933,93.4,10.2608099,6.4,6.2,74.71
Zambia,5.129,5.0,3500.0,0.44,37.0,6.0,64.0,0.44,0.02,42.0,4.7,1.0,2.247309923,61.4,8.112810135,6.92,7.19,37.0
Zimbabwe,4.61,4.0,3350.0,0.32,33.0,8.0,61.0,0.42,0.03,47.0,3.9,2.0,5.905600071,83.6,11.63768005,5.73,5.12,40.95
